Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Fratelli Revello,Barolo Gattera,3.2,35-39,13,13,4,3,3,3,3,sv,sv,sv,sv,sv,sv,sv
Fratelli Revello,Barolo Ceretta,4.0,50-54,43,31,3,5,5,3,4,sv,sv,sv,sv,sv,sv,sv
Fratelli Revello,Barolo Giachini,3.0,40-44,9,8,3,3,3,3,3,sv,sv,sv,sv,sv,sv,sv
Fratelli Revello,Barolo,2.8,25-29,8,11,3,3,3,3,2,sv,sv,sv,sv,sv,sv,sv
Gaja,Barolo Conteisa,3.8,200-249,26,4,5,sv,4,3,3,sv,sv,sv,sv,sv,sv,sv
Gaja,Barolo Sperss,4.6,250-299,61,8,5,5,4,4,5,sv,sv,sv,sv,sv,sv,sv
Garesio,Barolo Gianetto,3.0,50-54,4,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Garesio,Barolo Del Comune Di Serralunga,2.6,35-39,7,7,2,3,2,3,3,sv,sv,sv,sv,sv,sv,sv
Garesio,Barolo Cerretta,3.0,45-49,4,3,sv,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Giacomo Fenocchio,Barolo Villero,4.2,50-54,52,38,5,4,3,4,5,4,sv,sv,sv,sv,sv,sv
Giacomo Fenocchio,Barolo Bussia,3.3,45-49,26,21,3,3,3,3,3,5,sv,sv,sv,sv,sv,sv
Giacomo Fenocchio,Barolo Cannubi,3.8,55-59,45,29,4,5,5,3,3,3,sv,sv,sv,sv,sv,sv
Giacomo Fenocchio,Barolo Bussia Riserva 90 Dì,4.4,85-89,50,22,sv,sv,4,sv,4,4,5,5,sv,sv,sv,sv
Giacomo Fenocchio,Barolo Castellero,3.0,45-49,11,9,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Giacomo Grimaldi,Barolo Ravera,4.5,50-54,22,16,5,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Giacomo Grimaldi,Barolo Sottocastello Di Novello,4.3,50-54,56,40,4,4,5,4,5,4,sv,sv,sv,sv,sv,sv
Giacomo Grimaldi,Barolo,3.3,35-39,19,19,3,4,3,4,3,3,sv,sv,sv,sv,sv,sv
Giacomo Grimaldi,Barolo Le Coste,4.5,54-59,44,30,sv,sv,4,5,4,5,sv,sv,sv,sv,sv,sv
Gian Piero Marrone,Barolo Bussia,4.0,85-89,6,2,sv,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Gian Piero Marrone,Barolo Pichemej,3.0,65-69,2,1,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Gian Piero Marrone,Barolo Pichemej,3.0,50-54,2,1,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Gianfranco Alessandria,Barolo San Giovanni,4.8,65-69,89,50,5,5,5,4,5,5,sv,sv,sv,sv,sv,sv
Gianfranco Alessandria,Barolo,3.7,45-49,26,21,4,4,3,4,4,3,sv,sv,sv,sv,sv,sv
Gianfranco Bovio,Barolo Riserva De-Rieumes,5.0,65-69,33,19,sv,sv,5,sv,5,sv,sv,sv,sv,sv,sv,sv
Gianfranco Bovio,Barolo Arborina,3.6,45-49,28,22,3,3,3,sv,4,5,sv,sv,sv,sv,sv,sv
Gianfranco Bovio,Barolo Gattera,3.0,45-49,9,8,3,3,3,sv,3,3,sv,sv,sv,sv,sv,sv
Gianfranco Bovio,Barolo Parussi,3.5,50-54,7,5,3,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Gianfranco Bovio,Barolo,3.0,30-34,11,13,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Gianfranco Bovio,Barolo Rocchettevino,3.0,40-44,4,3,sv,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Gianni Gagliardo,Barolo Lazzarito Vigna Pieve,4.0,95-99,30,12,5,sv,4,4,3,sv,sv,sv,sv,sv,sv,sv
Gianni Gagliardo,Barolo Mosconi,3.7,75-79,13,6,4,4,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Gianni Gagliardo,Barolo Monvigliero,3.5,95-99,7,3,4,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Gianni Gagliardo,Barolo Fossati,3.0,75-79,6,3,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Gianni Gagliardo,Barolo Castelletto,3.0,75-79,8,4,3,3,3,sv,3,sv,sv,sv,sv,sv,sv,sv
Gianni Gagliardo,Barolo Preve,3.0,100-124,2,1,sv,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Gianni Gagliardo,Barolo Serre,3.0,65-69,2,1,sv,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Gianni Gagliardo,Barolo Gianni Gagliardo,3.0,35-39,8,8,sv,sv,3,3,3,3,sv,sv,sv,sv,sv,sv
Gianni Gagliardo,Barolo Serre 10 Anni,3.0,175-199,4,1,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,3,3
Gianni Gagliardo,Barolo La Morra,3.0,55-59,2,1,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Gigi Rosso,Barolo Riserva Rocche Moriondino Dell'Ulivo,4.0,60-64,6,3,sv,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Gigi Rosso,Barolo Rocche Moriondino,4.0,45-49,6,4,sv,sv,4,sv,sv,sv,sv,sv,sv,sv,sv,sv
Gigi Rosso,Barolo Bricco San Pietro,3.0,40-44,2,2,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Giovanni Corino,Barolo Giachini,3.2,50-54,15,11,3,3,3,3,3,4,sv,sv,sv,sv,sv,sv
Giovanni Corino,Barolo Riserva,3.0,95-99,4,1,sv,sv,3,sv,3,sv,sv,sv,sv,sv,sv,sv
Giovanni Corino,Barolo Bricco Manescotto,3.0,50-54,6,4,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Giovanni Corino,Barolo Arborina,3.0,55-59,11,7,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Giovanni Corino,Barolo Del Comune Di La Morra,3.0,30-34,11,13,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Giovanni Rosso,Barolo Vignarionda Ester Canale Rosso,5.0,300-349,100,12,5,5,5,5,5,5,sv,sv,sv,sv,sv,sv
Giovanni Rosso,Barolo Serra,4.2,65-69,52,29,5,4,5,3,4,4,sv,sv,sv,sv,sv,sv
Giovanni Rosso,Barolo Cerretta,4.7,65-69,78,44,5,5,4,5,5,4,sv,sv,sv,sv,sv,sv
Giovanni Rosso,Barolo Del Comune Di Serralunga,3.2,35-39,15,15,3,3,4,3,3,3,sv,sv,sv,sv,sv,sv
Giuseppe Ellena,Barolo Ascheri,3.0,35-39,8,8,3,3,3,sv,sv,3,sv,sv,sv,sv,sv,sv
Giuseppe Ellena,Barolo Ascheri Riserva,3.0,55-59,4,2,sv,sv,sv,sv,3,3,sv,sv,sv,sv,sv,sv
Giuseppe Ellena,Barolo Del Comune Di La Morra,3.0,25-29,9,13,3,3,sv,3,3,3,sv,sv,sv,sv,sv,sv
Giuseppe Mascarello E Figlio,Barolo Monprivato,5.0,175-199,100,20,sv,5,5,5,5,5,5,sv,sv,sv,sv,sv
Giuseppe Mascarello E Figlio,Barolo Villero,4.7,80-84,78,36,sv,5,5,4,4,5,5,sv,sv,sv,sv,sv
Giuseppe Mascarello E Figlio,Barolo Perno Vigna Santo Stefano,3.8,80-84,37,17,sv,5,3,3,4,4,4,sv,sv,sv,sv,sv
Giuseppe Principiano,Barolo Boscareto,3.0,30-34,9,11,sv,3,3,sv,3,3,3,sv,sv,sv,sv,sv
Giuseppe Principiano,Barolo,3.0,25-29,11,16,sv,3,3,3,3,3,3,sv,sv,sv,sv,sv
Guido Porro,Barolo Vignarionda,4.8,70-74,56,29,5,5,5,4,sv,sv,sv,sv,sv,sv,sv,sv
Guido Porro,Barolo Vigna Lazzairasco,4.7,30-34,85,100,5,5,5,5,5,3,sv,sv,sv,sv,sv,sv
Guido Porro,Barolo Gianetto,3.3,30-34,26,31,3,3,3,3,3,5,sv,sv,sv,sv,sv,sv
Guido Porro,Barolo Vigna Santa Caterina,3.3,30-34,19,22,4,4,3,3,3,3,sv,sv,sv,sv,sv,sv
Icardi,Barolo Serra Riserva,4.0,100-124,6,2,sv,sv,4,sv,sv,sv,sv,sv,sv,sv,sv,sv
Icardi,Barolo Fossati,4.0,80-84,11,5,sv,4,4,sv,sv,sv,sv,sv,sv,sv,sv,sv
Icardi,Barolo Parej,3.3,40-44,11,10,sv,3,4,sv,3,3,sv,sv,sv,sv,sv,sv
L'Astemia Pentita,Barolo Terlo,3.6,70-74,28,15,5,4,3,3,3,sv,sv,sv,sv,sv,sv,sv
L'Astemia Pentita,Barolo Cannubi,3.8,70-74,24,13,4,3,4,4,4,sv,sv,sv,sv,sv,sv,sv
L'Astemia Pentita,Barolo,2.5,30-34,5,6,3,3,2,2,sv,sv,sv,sv,sv,sv,sv,sv
L'Astemia Pentita,Barolo Cannubi Riserva,3.5,85-89,7,3,sv,sv,sv,3,4,sv,sv,sv,sv,sv,sv,sv
L'Astemia Pentita,Barolo Terlo Riserva,3.0,85-89,2,1,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
La Fusina,Barolo Perno,3.0,30-34,8,9,3,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv
La Spinetta,Barolo Vigneto Campè,4.5,125-149,67,18,5,4,4,5,5,4,sv,sv,sv,sv,sv,sv
La Spinetta,Barolo Vigneto Garretti,3.0,50-54,6,4,sv,3,sv,sv,3,3,sv,sv,sv,sv,sv,sv
Livia Fontana,Barolo Bussia Riserva,5.0,100-124,83,28,sv,sv,5,5,sv,5,5,5,sv,sv,sv,sv
Livia Fontana,Barolo Villero,4.0,70-74,35,18,5,4,4,sv,3,4,sv,sv,sv,sv,sv,sv
Livia Fontana,Barolo Fontanin,3.2,35-39,15,15,3,3,3,4,3,3,sv,sv,sv,sv,sv,sv
Luigi Baudana,Barolo Baudana,4.7,80-84,78,36,5,5,4,5,5,4,sv,sv,sv,sv,sv,sv
Luigi Baudana,Barolo Cerretta,4.6,80-84,61,28,5,4,5,4,sv,5,sv,sv,sv,sv,sv,sv
Luigi Vico,Barolo Prapò,4.0,55-59,11,7,4,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Luigi Vico,Barolo Del Comune Di Serralunga,3.0,35-39,4,4,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Marchesi Di Barolo,Barolo Cannubi,4.3,65-69,63,35,5,4,5,5,4,3,sv,sv,sv,sv,sv,sv
Marchesi Di Barolo,Barolo Sarmassa,3.3,65-69,26,15,3,5,3,3,3,3,sv,sv,sv,sv,sv,sv
Marchesi Di Barolo,Barolo Coste Di Rose,3.0,54-59,11,8,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Marchesi Di Barolo,Barolo Del Comune Di Barolo,3.0,60-64,11,7,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Marchesi Di Barolo,Barolo Riserva Della Casa,4.0,50-54,6,4,sv,sv,sv,sv,sv,sv,4,sv,sv,sv,sv,sv
Marchesi Di Barolo,Barolo Tradizione,3.0,30-34,2,2,sv,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Marengo,Barolo Brunate,4.5,45-49,74,59,5,3,5,5,4,5,sv,sv,sv,sv,sv,sv
Marengo,Barolo Bricco Delle Viole,4.3,40-44,63,56,5,5,4,4,5,3,sv,sv,sv,sv,sv,sv
Marengo,Barolo,3.2,30-34,15,18,3,3,3,3,4,3,sv,sv,sv,sv,sv,sv
Mario Gagliasso,Barolo Torriglione,3.3,30-34,19,22,4,4,3,3,3,3,sv,sv,sv,sv,sv,sv
Mario Gagliasso,Barolo Rocche Dell'Annunziata,3.0,30-34,11,13,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Mario Gagliasso,Barolo Tre Utin,3.0,25-29,11,16,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Mario Gagliasso,Barolo Riserva,3.0,65-69,4,2,sv,sv,sv,sv,sv,sv,3,3,sv,sv,sv,sv
Marziano Abbona,Barolo Pressenda,3.0,45-49,9,8,3,3,3,sv,3,3,sv,sv,sv,sv,sv,sv
Marziano Abbona,Barolo,2.8,30-34,10,12,3,3,3,3,2,3,sv,sv,sv,sv,sv,sv
Marziano Abbona,Barolo Cerviano-Merli,3.0,45-49,4,3,sv,3,sv,sv,sv,sv,3,sv,sv,sv,sv,sv
Marziano Abbona,Barolo,3.0,30-34,2,2,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Marziano Abbona,Barolo Ravera,3.3,35-39,9,10,sv,sv,4,sv,3,3,sv,sv,sv,sv,sv,sv
Massimo Rivetti,Barolo,3.0,30-34,2,2,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Massolino - Vigna Rionda,Barolo Margheria,4.7,65-69,78,44,5,4,5,5,5,4,sv,sv,sv,sv,sv,sv
Massolino - Vigna Rionda,Barolo Parafada,4.0,65-69,48,27,5,5,4,4,3,3,sv,sv,sv,sv,sv,sv
Massolino - Vigna Rionda,Barolo Vignarionda Riserva ,5.0,100-124,100,34,5,5,5,5,5,5,sv,sv,sv,sv,sv,sv
Massolino - Vigna Rionda,Barolo Parussi,3.8,65-69,24,14,4,4,3,sv,4,4,sv,sv,sv,sv,sv,sv
Massolino - Vigna Rionda,Barolo,3.2,35-39,15,15,3,3,3,3,4,3,sv,sv,sv,sv,sv,sv
Mauro Molino,Barolo Conca,3.3,95-99,9,4,4,3,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Mauro Molino,Barolo La Serra,3.2,65-69,13,7,3,3,sv,3,4,3,sv,sv,sv,sv,sv,sv
Mauro Molino,Barolo,3.0,40-44,6,5,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Mauro Molino,Barolo Bricco Luciani,3.7,50-54,13,9,3,4,sv,4,sv,sv,sv,sv,sv,sv,sv,sv
Mauro Molino,Barolo Gallinotto,3.0,45-49,12,10,3,3,4,sv,3,2,sv,sv,sv,sv,sv,sv
Mauro Sebaste,Barolo Cerretta,3.5,50-54,15,11,4,4,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Mauro Sebaste,Barolo Riserva Ghe,3.3,80-84,9,4,sv,sv,4,sv,sv,3,3,sv,sv,sv,sv,sv
Mauro Sebaste,Barolo Tresuri,3.0,30-34,9,11,3,3,3,sv,3,3,sv,sv,sv,sv,sv,sv
Mauro Veglio,Barolo Castelletto,4.5,45-49,67,53,5,4,5,4,5,4,sv,sv,sv,sv,sv,sv
Mauro Veglio,Barolo Arborina,3.3,45-49,19,15,4,4,3,3,3,3,sv,sv,sv,sv,sv,sv
Mauro Veglio,Barolo Paiagallo,4.5,75-79,22,11,4,5,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Mauro Veglio,Barolo,3.0,35-39,11,12,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Mauro Veglio,Barolo Gattera,3.0,45-49,11,9,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Mauro Veglio,Barolo Rocche Dell'Annunziata,4.0,75-79,30,15,sv,sv,4,5,3,4,sv,sv,sv,sv,sv,sv
Michele Chiarlo,Barolo Cerequio,3.8,70-74,39,20,5,3,3,sv,5,3,sv,sv,sv,sv,sv,sv
Michele Chiarlo,Barolo Cannubi,3.8,70-74,32,16,4,3,5,sv,4,3,sv,sv,sv,sv,sv,sv
Michele Chiarlo,Barolo Cerequio Riserva,4.0,125-149,19,5,sv,sv,sv,sv,5,sv,sv,3,sv,sv,sv,sv
Michele Chiarlo,Barolo Tortoniano,3.3,35-39,9,10,sv,sv,sv,3,3,4,sv,sv,sv,sv,sv,sv
Montalbera,Barolo Levoluzione,2.6,25-29,7,10,3,3,3,sv,2,2,sv,sv,sv,sv,sv,sv
Monti,Barolo Bussia,3.0,55-59,4,2,3,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Monti,Barolo Bricco San Pietro,3.0,50-54,4,3,sv,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Monti,Barolo Del Comune Di Monforte,3.3,40-44,9,8,sv,3,sv,sv,3,4,sv,sv,sv,sv,sv,sv
Monti,Barolo Bussia Riserva,4.0,65-69,24,14,sv,sv,sv,sv,4,3,sv,5,sv,sv,sv,sv
Oddero,Barolo Brunate,3.4,95-99,24,9,5,3,3,sv,3,3,sv,sv,sv,sv,sv,sv
Oddero,Barolo Vignarionda Riserva ,4.6,150-174,100,23,sv,sv,sv,5,4,5,4,sv,5,5,4,5
Oddero,Barolo Rocche Di Castiglione,3.7,75-79,33,16,3,3,4,4,5,3,sv,sv,sv,sv,sv,sv
Oddero,Barolo Bussia Riserva Vigna Mondoca,3.7,95-99,26,10,sv,sv,4,4,4,4,3,3,sv,sv,sv,sv
Oddero,Barolo Villero,3.4,70-74,17,9,4,3,3,sv,3,4,sv,sv,sv,sv,sv,sv
Oddero,Barolo,3.0,40-44,11,10,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Palladino,Barolo Ornato,4.0,45-49,41,33,5,4,4,4,4,3,sv,sv,sv,sv,sv,sv
Palladino,Barolo Parafada,4.5,45-49,67,53,4,5,4,4,5,5,sv,sv,sv,sv,sv,sv
Palladino,Barolo San Bernando Riserva,4.5,65-69,44,25,sv,sv,4,sv,5,5,sv,4,sv,sv,sv,sv
Palladino,Barolo Del Comune Di Serralunga,3.0,35-39,11,12,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Paolo Manzone,Barolo Meriame,3.8,35-39,45,45,5,4,5,3,3,3,sv,sv,sv,sv,sv,sv
Paolo Manzone,Barolo Riserva,3.8,60-64,32,19,sv,sv,4,4,3,sv,5,sv,sv,3,sv,sv
Paolo Manzone,Barolo Del Comune Di Serralunga,3.2,35-39,15,15,3,3,3,4,3,3,sv,sv,sv,sv,sv,sv
Paolo Scavino,Barolo Bric Del Fiasc,5.0,90-94,100,41,5,5,5,5,5,5,sv,sv,sv,sv,sv,sv
Paolo Scavino,Barolo Rocche Dell'Annunziata Riserva,5.0,175-199,67,13,sv,sv,5,sv,5,sv,5,5,sv,sv,sv,sv
Paolo Scavino,Barolo Ravera,4.3,70-74,28,15,5,4,4,sv,sv,sv,sv,sv,sv,sv,sv,sv
Paolo Scavino,Barolo Monvigliero,3.8,70-74,37,19,4,5,4,4,3,3,sv,sv,sv,sv,sv,sv
Paolo Scavino,Barolo Cannubi,3.7,90-94,26,11,4,4,4,4,3,3,sv,sv,sv,sv,sv,sv
Paolo Scavino,Barolo Prapò,4.0,70-74,17,9,4,4,4,sv,sv,sv,sv,sv,sv,sv,sv,sv
Paolo Scavino,Barolo Bricco Ambrogio,3.0,60-64,9,6,3,sv,3,3,3,3,sv,sv,sv,sv,sv,sv
Paolo Scavino,Barolo Carobric,3.0,70-74,9,5,3,sv,3,3,3,3,sv,sv,sv,sv,sv,sv
Paolo Scavino,Barolo,3.8,45-49,24,19,sv,4,4,4,3,4,sv,sv,sv,sv,sv,sv
Paolo Scavino,Barolo Riserva Novantesimo,5.0,250-299,17,2,sv,sv,sv,sv,sv,sv,5,sv,sv,sv,sv,sv
Parusso,Barolo Per Armando,3.0,40-44,11,10,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Parusso,Barolo Bussia Riserva Etichetta Oro,4.0,150-174,30,7,sv,sv,sv,sv,sv,3,5,4,4,sv,sv,sv
Parusso,Barolo Mosconi,3.0,85-89,8,4,sv,4,3,sv,2,sv,sv,sv,sv,sv,sv,sv
Parusso,Barolo Mariondino,3.0,50-54,8,5,sv,3,3,sv,3,3,sv,sv,sv,sv,sv,sv
Parusso,Barolo Bussia,3.0,85-89,8,3,sv,3,3,sv,3,3,sv,sv,sv,sv,sv,sv
Parusso,Barolo Le Coste Di Monforte,3.0,55-59,2,1,sv,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Pecchenino,Barolo Le Coste Di Monforte,3.8,45-49,26,21,5,3,sv,sv,3,4,sv,sv,sv,sv,sv,sv
Pecchenino,Barolo Bussia,3.0,45-49,9,8,3,3,3,sv,3,3,sv,sv,sv,sv,sv,sv
Pecchenino,Barolo San Giuseppe,3.3,45-49,19,15,3,3,3,4,4,3,sv,sv,sv,sv,sv,sv
Pio Cesare,Barolo Ornato,3.7,100-124,41,14,5,3,5,3,3,3,sv,sv,sv,sv,sv,sv
Pio Cesare,Barolo Pio,3.3,65-69,19,11,4,3,4,3,3,3,sv,sv,sv,sv,sv,sv
Pio Cesare,Barolo Mosconi,3.0,125-149,6,2,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Pira,Barolo Vignarionda,4.2,65-69,46,26,5,5,4,sv,3,4,sv,sv,sv,sv,sv,sv
Pira,Barolo Marenca,3.4,50-54,19,14,4,4,3,sv,4,2,sv,sv,sv,sv,sv,sv
Pira,Barolo Margheria,3.4,50-54,27,19,4,3,5,sv,2,3,sv,sv,sv,sv,sv,sv
Pira,Barolo Del Comune Di Serralunga,4.0,35-39,6,6,sv,sv,sv,4,sv,sv,sv,sv,sv,sv,sv,sv
Pira E Figli Chiara Boschis,Barolo Via Nuova,4.3,80-84,56,26,5,5,4,4,4,4,sv,sv,sv,sv,sv,sv
Pira E Figli Chiara Boschis,Barolo Cannubi,4.7,100-124,78,26,5,4,5,4,5,5,sv,sv,sv,sv,sv,sv
Pira E Figli Chiara Boschis,Barolo Mosconi,4.2,95-99,52,20,3,5,4,5,4,4,sv,sv,sv,sv,sv,sv
Podere Rocche Dei Manzoni,Barolo Perno Vigna Cappella Santo Stefano,4.6,85-89,61,26,sv,5,4,5,5,4,sv,sv,sv,sv,sv,sv
Podere Rocche Dei Manzoni,Barolo Bricco San Pietro Vigna Dla Roul ,3.6,65-69,28,16,sv,4,3,3,3,5,sv,sv,sv,sv,sv,sv
Podere Rocche Dei Manzoni,Barolo,3.7,45-49,20,16,3,sv,5,sv,sv,3,sv,sv,sv,sv,sv,sv
Podere Rocche Dei Manzoni,Barolo Riserva La Villa Vigna Madonna Assunta,5.0,150-174,17,4,sv,sv,sv,sv,sv,sv,sv,5,sv,sv,sv,sv
Podere Ruggeri Corsini,Barolo Bussia,3.0,30-34,11,13,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Podere Ruggeri Corsini,Barolo Bricco San Pietro,3.0,25-29,9,13,3,3,3,sv,3,3,sv,sv,sv,sv,sv,sv
Poderi Aldo Conterno,Barolo Bussia Granbussia,5.0,500-749,67,4,sv,sv,sv,sv,sv,5,sv,5,5,5,sv,sv
Poderi Aldo Conterno,Barolo Bussia Romirasco,5.0,175-199,100,20,5,5,5,5,5,5,sv,sv,sv,sv,sv,sv
Poderi Aldo Conterno,Barolo Bussia Cicala,4.4,100-124,50,17,5,5,4,4,4,sv,sv,sv,sv,sv,sv,sv
Poderi Aldo Conterno,Barolo Bussia Colonnello,3.7,100-124,26,9,4,4,4,3,3,4,sv,sv,sv,sv,sv,sv
Poderi Aldo Conterno,Barolo Bussia,3.3,60-64,9,6,3,sv,3,sv,4,sv,sv,sv,sv,sv,sv,sv
Poderi Colla,Barolo Bussia Dardi Le Rose,3.7,40-44,26,23,4,4,3,4,3,4,sv,sv,sv,sv,sv,sv
Poderi Luigi Einaudi,Barolo Bussia,4.0,60-64,19,11,5,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Poderi Luigi Einaudi,Barolo Cannubi,3.7,60-64,41,25,5,5,3,3,3,3,sv,sv,sv,sv,sv,sv
Poderi Luigi Einaudi,Barolo Ludo,3.0,35-39,8,8,3,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Poderi Luigi Einaudi,Barolo Terlo Vigna Costa Grimaldi,3.8,50-54,37,27,3,3,4,4,4,5,sv,sv,sv,sv,sv,sv
Poderi Luigi Einaudi,Barolo Terlo,3.0,35-39,4,4,sv,sv,sv,sv,3,3,sv,sv,sv,sv,sv,sv
Prunotto,Barolo Bussia,4.2,60-64,52,31,5,4,4,5,4,3,sv,sv,sv,sv,sv,sv
Prunotto,Barolo Bussia Riserva Vigna Colonnello,4.8,125-149,89,24,sv,sv,5,5,5,4,5,5,sv,sv,sv,sv
Prunotto,Barolo,2.7,35-39,9,9,3,3,3,3,2,2,sv,sv,sv,sv,sv,sv
Raineri,Barolo Castelletto,3.5,65-69,7,4,4,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Raineri,Barolo Perno,3.0,45-49,6,5,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Raineri,Barolo,3.0,25-29,11,16,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Raineri,Barolo Monserra,3.0,40-44,6,5,sv,sv,sv,3,3,3,sv,sv,sv,sv,sv,sv
Rattalino,Barolo Monvigliero 92,3.0,35-39,4,4,sv,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Rattalino,Barolo Del Comune Di Serralunga 91,3.0,30-34,6,7,sv,sv,3,3,3,sv,sv,sv,sv,sv,sv,sv
Rattalino,Barolo 34,2.8,25-29,10,14,3,2,3,3,sv,3,3,sv,sv,sv,sv,sv
Rattalino,Barolo Bussia 35,2.8,35-39,8,8,sv,sv,2,3,3,3,3,sv,sv,sv,sv,sv
Rattalino,Barolo Bussia Riserva 37,3.0,35-39,4,4,sv,sv,sv,sv,sv,sv,3,3,sv,sv,sv,sv
Renato Corino,Barolo Arborina,4.0,45-49,48,39,5,4,4,3,3,5,sv,sv,sv,sv,sv,sv
Renato Corino,Barolo Rocche Dell'Annunziata,4.0,55-59,48,32,4,3,5,5,4,3,sv,sv,sv,sv,sv,sv
Renato Corino,Barolo Roncaglie Stefano Corino,3.0,50-54,4,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Renato Corino,Barolo Del Comune Di La Morra,3.0,30-34,9,11,sv,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Renato Corino,Barolo Riserva,4.0,65-69,19,10,sv,sv,sv,sv,3,sv,5,sv,sv,sv,sv,sv
Renato Ratti,Barolo Rocche Dell'Annunziata,3.3,75-79,19,9,4,3,3,3,3,4,sv,sv,sv,sv,sv,sv
Renato Ratti,Barolo Mercenasco,3.0,40-44,11,10,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Renato Ratti,Barolo Conca,3.0,75-79,11,6,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Reva,Barolo Ravera,3.3,90-94,9,4,sv,4,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Reva,Barolo Cannubi,3.0,150-174,4,1,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Reva,Barolo,3.0,40-44,9,8,3,3,3,3,3,sv,sv,sv,sv,sv,sv,sv
Reverdito,Barolo Ascheri,3.0,35-39,9,10,3,sv,3,3,3,3,sv,sv,sv,sv,sv,sv
Reverdito,Barolo Badarina,3.0,55-59,8,5,3,3,3,sv,sv,3,sv,sv,sv,sv,sv,sv
Reverdito,Barolo Bricco Cogni,3.0,55-59,11,7,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Reverdito,Barolo La Serra,3.0,60-64,2,1,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Reverdito,Barolo Castagni,3.0,25-29,2,3,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Reverdito,Barolo Riva Rocca,3.0,25-29,2,3,sv,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Rinaldi,Barolo Brunate,4.8,100-124,89,30,5,5,5,5,4,5,sv,sv,sv,sv,sv,sv
